id,outcode,lat,lng
694,DH99,54.786173,-1.557144
695,DL1,54.550379,-1.526809
696,DL10,54.412598,-1.679784
697,DL11,54.439,-1.875
698,DL12,54.572,-1.985
699,DL13,54.716,-1.954
700,DL14,54.652,-1.69
701,DL15,54.709628,-1.740801
702,DL16,54.699,-1.604
703,DL17,54.681,-1.54
704,DL2,54.532952,-1.623143
705,DL3,54.543151,-1.574602
706,DL4,54.63,-1.643
707,DL5,54.617,-1.576
708,DL6,54.371,-1.389
709,DL7,54.359654,-1.501357
710,DL8,54.293,-1.786
711,DL9,54.375,-1.709
712,DN1,53.523749,-1.13163
713,DN10,53.439403,-0.962408
714,DN11,53.450182,-1.104198
715,DN12,53.477226,-1.232874
716,DN14,53.711665,-0.936317
717,DN15,53.647183,-0.642731
718,DN16,53.570202,-0.624399
719,DN17,53.572,-0.701
720,DN18,53.68,-0.446
721,DN19,53.684,-0.359
722,DN2,53.534107,-1.102256
723,DN20,53.558,-0.505
724,DN21,53.416449,-0.645818
725,DN22,53.323,-0.927
726,DN3,53.540041,-1.060731
727,DN31,53.575009,-0.094131
728,DN32,53.562867,-0.067944
729,DN33,53.548657,-0.100349
730,DN34,53.56013,-0.108271
731,DN35,53.555,-0.035
732,DN36,53.511,-0.037
733,DN37,53.541,-0.135
734,DN38,53.561,-0.392
735,DN39,53.617,-0.334
736,DN4,53.504282,-1.12104
737,DN40,53.621,-0.224
738,DN41,53.58839,-0.211516
739,DN5,53.557811,-1.216272
740,DN55,53.512922,-1.125721
741,DN6,53.594658,-1.176678
742,DN7,53.573751,-1.030587
743,DN8,53.610811,-0.927518
744,DN9,53.517186,-0.940873
745,DT1,50.710347,-2.4513
746,DT10,50.937,-2.333
747,DT11,50.86,-2.181
748,DT2,50.749,-2.453
749,DT3,50.641,-2.466
750,DT4,50.6055,-2.46886
751,DT5,50.548,-2.441
752,DT6,50.739,-2.775
753,DT7,50.729,-2.946
754,DT8,50.816,-2.758
755,DT9,50.941,-2.515
756,DY1,52.517257,-2.09395
757,DY10,52.374841,-2.194016
758,DY11,52.382557,-2.258012
759,DY12,52.382574,-2.343756
760,DY13,52.324178,-2.283647
761,DY14,52.383725,-2.419712
762,DY2,52.492336,-2.085178
763,DY3,52.527922,-2.166603
764,DY4,52.5328,-2.054678
765,DY5,52.485945,-2.121581
766,DY6,52.496759,-2.173682
767,DY7,52.480567,-2.22685
768,DY8,52.45348,-2.157326
769,DY9,52.414482,-2.114541
770,E1,51.514997,-0.058707
771,E10,51.566937,-0.02058
772,E11,51.570225,0.016903
773,E12,51.55312,0.049956
774,E13,51.526833,0.025686
775,E14,51.502526,-0.017603
776,E15,51.538668,-0.000002
777,E16,51.511717,0.008797
778,E17,51.586008,-0.01838
779,E18,51.592584,0.025743
780,E1W,51.508,-0.058
781,E2,51.529447,-0.060197
782,E3,51.528805,-0.022753
783,E4,51.634048,-0.005886
784,E5,51.56232,-0.052916
785,E6,51.525507,0.057241
786,E7,51.547208,0.027899
787,E77,51.513948,-0.069129
788,E8,51.543908,-0.066085
789,E9,51.543915,-0.04111
790,E98,51.513678,-0.060885
791,EC1,51.52416,-0.096177
792,EC1A,51.52,-0.103
793,EC1M,51.520874,-0.104983
794,EC1N,51.52,-0.108
795,EC1P,51.524503,-0.112088
796,EC1R,51.525471,-0.107929
797,EC1V,51.527448,-0.095442
798,EC1Y,51.523,-0.093
799,EC2,51.520232,-0.094691
800,EC2A,51.523,-0.085
801,EC2M,51.518,-0.086
802,EC2N,51.519565,-0.096894
803,EC2P,51.520231,-0.09616
804,EC2R,51.517,-0.092
805,EC2V,51.516,-0.093
806,EC2Y,51.520875,-0.099838
807,EC3,51.516282,-0.091746
808,EC3A,51.515,-0.081
809,EC3M,51.512,-0.083
810,EC3N,51.513,-0.079
811,EC3P,51.52,-0.101
812,EC3R,51.512,-0.085
813,EC3V,51.517594,-0.097625
814,EC4,51.516936,-0.099089
815,EC4A,51.516,-0.107
816,EC4M,51.515,-0.1
817,EC4N,51.517592,-0.099089
818,EC4P,51.524503,-0.112088
819,EC4R,51.512,-0.091
820,EC4V,51.513,-0.1
821,EC4Y,51.514,-0.107
822,EC50,51.524503,-0.112088
823,EH1,55.95246,-3.193287
824,EH10,55.911085,-3.209224
825,EH11,55.931822,-3.259573
826,EH12,55.938025,-3.289028
827,EH13,55.914516,-3.250549
828,EH14,55.890045,-3.313271
829,EH15,55.949294,-3.11464
830,EH16,55.920213,-3.147799
831,EH17,55.907,-3.142
832,EH18,55.877368,-3.12549
833,EH19,55.869098,-3.098223
834,EH2,55.954426,-3.19428
835,EH20,55.880631,-3.141154
836,EH21,55.939,-3.045
837,EH22,55.892311,-3.043981
838,EH23,55.825999,-3.071295
839,EH24,55.851,-3.133
840,EH25,55.849896,-3.188347
841,EH26,55.833,-3.224
842,EH27,55.89,-3.422
843,EH28,55.914962,-3.488545
844,EH29,55.958629,-3.325925
845,EH3,55.95544,-3.199752
846,EH30,55.977132,-3.343232
847,EH31,56.044746,-2.78237
848,EH32,55.98128,-2.922538
849,EH33,55.939938,-2.924859
850,EH34,55.909708,-2.888197
851,EH35,55.911,-2.942
852,EH36,55.856,-2.851
853,EH37,55.862,-2.96
854,EH38,55.786,-2.96
855,EH39,56.022239,-2.729134
